Offset,Baro-Corrected Altitude (ft),Pressure Altitude (ft),Stab Pos -A/P FCC L (Deg),Stab Pos -A/P FCC C (Deg),Stab Pos -A/P FCC R (Deg),Stab Pos R/C Disagree (Deg),Stab Pos L/C Disagree (Deg),Stab Pos L/R Disagree (Deg),ENG N1-ACTUAL - LEFT (%RPM),ENG N1-ACTUAL - RIGHT (%RPM)
0,938.238179599536,855,0.0439453087747097,,,,0,0.17578123882412911,0,1.5
1,938.238179599536,855,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,1.75
2,938.238179599536,855,,,,,,,0,2
3,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,0,2.25
4,938.238179599536,855,0.0439453087747097,,,,0,0.17578123882412911,0,2.5
5,938.238179599536,855,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,2.75
6,938.238179599536,855,,,,,,,0,3
7,938.238179599536,855,,0.0439453087747097,,0.17578123882412911,0,,0,3.25
8,938.238179599536,855,0.0439453087747097,,,,0,0.17578123882412911,0,3.5
9,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,4
10,938.238179599536,855,,,,,,,0,4.5
11,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,0,5.125
12,938.238179599536,855,0.0439453087747097,,,,0,0.17578123882412911,0,5.75
13,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,6.375
14,938.238179599536,855,,,,,,,0,7
15,938.238179599536,855,,0.0439453087747097,,0.17578123882412911,0,,0,7.75
16,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,0,8.375
17,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,9.125
18,938.238179599536,855,,,,,,,0,9.875
19,938.238179599536,855,,0.0439453087747097,,0.17578123882412911,0,,0,10.625
20,938.238179599536,855,0.0439453087747097,,,,0,0.17578123882412911,0,11.375
21,938.238179599536,855,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,12.375
22,936.238179599536,853,,,,,,,0,13.5
23,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,0,14.75
24,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,0,16.625
25,938.238179599536,855,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,18.5
26,937.238179599536,854,,,,,,,0,20.375
27,938.238179599536,855,,0.0439453087747097,,0.17578123882412911,0,,0,22.5
28,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,0,24.75
29,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,25.75
30,937.238179599536,854,,,,,,,0,26
31,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,0,26
32,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,0,26
33,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,26
34,938.238179599536,855,,,,,,,0,26
35,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,0,26
36,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,0,26
37,938.238179599536,855,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,26
38,937.238179599536,854,,,,,,,0,26
39,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,0,26
40,936.238179599536,853,0.0439453087747097,,,,0,0.17578123882412911,0,25.875
41,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,25.875
42,937.238179599536,854,,,,,,,0,25.75
43,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,0,25.75
44,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,0,25.75
45,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,25.75
46,938.238179599536,855,,,,,,,0,25.75
47,938.238179599536,855,,0.0439453087747097,,0.17578123882412911,0,,0,25.75
48,936.238179599536,853,0.0439453087747097,,,,0,0.17578123882412911,0,25.75
49,938.238179599536,855,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,25.875
50,937.238179599536,854,,,,,,,0,25.875
51,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,0,25.875
52,936.238179599536,853,0.0439453087747097,,,,0,0.17578123882412911,0,25.875
53,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,0,25.875
54,937.238179599536,854,,,,,,,0,25.875
55,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,1,25.875
56,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,1.375,25.875
57,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,1.625,25.875
58,937.238179599536,854,,,,,,,1.875,25.875
59,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,2.125,25.875
60,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,2.375,25.875
61,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,2.75,25.875
62,938.238179599536,855,,,,,,,3.125,25.875
63,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,3.75,25.875
64,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,4.25,25.75
65,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,4.875,25.75
66,937.238179599536,854,,,,,,,5.5,25.75
67,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,6.125,25.625
68,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,6.75,25.625
69,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,7.375,25.625
70,937.238179599536,854,,,,,,,8,25.625
71,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,8.625,25.625
72,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,9.25,25.625
73,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,9.875,25.75
74,937.238179599536,854,,,,,,,10.5,25.75
75,938.238179599536,855,,0.0439453087747097,,0.17578123882412911,0,,11.125,25.75
76,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,12,25.75
77,938.238179599536,855,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,12.875,25.75
78,938.238179599536,855,,,,,,,12.875,25.75
79,938.238179599536,855,,0.0439453087747097,,0.17578123882412911,0,,12.875,25.75
80,937.238179599536,854,0.0439453087747097,,,,0,0.17578123882412911,23.625,25.5
81,937.238179599536,854,,,0.21972654759883881,0.17578123882412911,,0.17578123882412911,23.625,25.5
82,937.238179599536,854,,,,,,,23.5,25.5
83,937.238179599536,854,,0.0439453087747097,,0.17578123882412911,0,,23.5,25.5
84,937.238179599536,854,0.0439453087747097,,,,0.010986327193677425,0.17578123882412911,23.5,25.625
85,937.238179599536,854,,,0.21972654759883881,0.19775389321148396,,0.17578123882412911,23.5,25.625
86,937.238179599536,854,,,,,,,23.5,25.75
87,937.238179599536,854,,0,,0.21972654759883881,0.0439453087747097,,23.625,25.75
88,937.238179599536,854,0.0439453087747097,,,,0.032958981581032276,0.17578123882412911,23.625,25.75
89,937.238179599536,854,,,0.21972654759883881,0.19775389321148396,,0.17578123882412911,23.625,25.75
90,937.238179599536,854,,,,,,,23.625,25.75
