Offset,Baro-Corrected Altitude (ft),Pressure Altitude (ft),Stab Pos -A/P FCC L (Deg),Stab Pos -A/P FCC C (Deg),Stab Pos -A/P FCC R (Deg),Stab Pos R/C Disagree (Deg),Stab Pos L/C Disagree (Deg),Stab Pos L/R Disagree (Deg),ENG N1-ACTUAL - LEFT (%RPM),ENG N1-ACTUAL - RIGHT (%RPM)
0,19.459257992829578,-258,-0.74707025289535522,,,,0.0439453125,0.087890625,0,0.875
1,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,0,1.125
2,18.459257992829578,-259,,,,,,,0,1.375
3,19.459257992829578,-258,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,1.75
4,19.459257992829578,-258,-0.74707025289535522,,,,0.0439453125,0.087890625,0,2
5,19.459257992829578,-258,,,-0.65917962789535522,0.1318359375,,0.087890625,0,2.25
6,19.459257992829578,-258,,,,,,,0,2.5
7,19.459257992829578,-258,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,3
8,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,0,3.5
9,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,0,4.125
10,19.459257992829578,-258,,,,,,,0,4.75
11,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,5.375
12,19.459257992829578,-258,-0.74707025289535522,,,,0.0439453125,0.087890625,0,6.125
13,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,0,6.875
14,18.459257992829578,-259,,,,,,,0,7.75
15,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,8.5
16,19.459257992829578,-258,-0.74707025289535522,,,,0.0439453125,0.087890625,0,9.25
17,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,0,10.125
18,18.459257992829578,-259,,,,,,,0,11
19,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,12
20,19.459257992829578,-258,-0.74707025289535522,,,,0.0439453125,0.087890625,0,13
21,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,0,14.25
22,18.459257992829578,-259,,,,,,,0,15.75
23,19.459257992829578,-258,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,17.625
24,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,0,19.625
25,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,0,21.75
26,19.459257992829578,-258,,,,,,,0,24.125
27,19.459257992829578,-258,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,25.875
28,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,0,26.375
29,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,0,26.375
30,18.459257992829578,-259,,,,,,,0,26.375
31,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,26.375
32,19.459257992829578,-258,-0.74707025289535522,,,,0.0439453125,0.087890625,0,26.25
33,19.459257992829578,-258,,,-0.65917962789535522,0.1318359375,,0.087890625,0,26.25
34,18.459257992829578,-259,,,,,,,0,26.25
35,19.459257992829578,-258,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,26.25
36,19.459257992829578,-258,-0.74707025289535522,,,,0.0439453125,0.087890625,0,26.25
37,19.459257992829578,-258,,,-0.65917962789535522,0.1318359375,,0.087890625,0,26.25
38,19.459257992829578,-258,,,,,,,0,26.125
39,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,26.125
40,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,0,26.125
41,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,0,26.125
42,18.459257992829578,-259,,,,,,,0,26.125
43,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,26.125
44,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,0,26.125
45,19.459257992829578,-258,,,-0.65917962789535522,0.1318359375,,0.087890625,0,26.125
46,17.459257992829578,-260,,,,,,,0,26.125
47,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,26.125
48,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,0,26.125
49,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,0,26.125
50,17.459257992829578,-260,,,,,,,0,26.125
51,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,0,26.125
52,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,0,26.125
53,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,1.125,26.25
54,17.459257992829578,-260,,,,,,,1.375,26.25
55,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,1.625,26.25
56,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,1.875,26.25
57,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,2.125,26.25
58,17.459257992829578,-260,,,,,,,2.375,26.25
59,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,2.625,26.25
60,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,3,26.25
61,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,3.25,26.25
62,18.459257992829578,-259,,,,,,,3.5,26.25
63,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,3.625,26.25
64,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,4.125,26.25
65,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,4.625,26.25
66,17.459257992829578,-260,,,,,,,5.25,26.25
67,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,5.75,26.25
68,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,6.5,26.25
69,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,7.125,26.25
70,17.459257992829578,-260,,,,,,,7.75,26.25
71,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,8.5,26.25
72,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,9.25,26.125
73,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,10,26.125
74,17.459257992829578,-260,,,,,,,10.75,26.125
75,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,11.5,26.125
76,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,12.25,26.125
77,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,12.25,26.125
78,18.459257992829578,-259,,,,,,,12.25,26.125
79,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,12.25,26.125
80,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.875,26.25
81,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.875,26.25
82,17.459257992829578,-260,,,,,,,24.875,26.25
83,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,25,26.375
84,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,25,26.5
85,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,25,26.5
86,17.459257992829578,-260,,,,,,,25,26.5
87,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,25,26.375
88,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.875,26.375
89,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.875,26.375
90,17.459257992829578,-260,,,,,,,24.875,26.375
91,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.75,26.25
92,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.75,26.125
93,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.75,26.125
94,17.459257992829578,-260,,,,,,,24.625,26.125
95,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.625,26.125
96,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,26.25
97,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,26.375
98,17.459257992829578,-260,,,,,,,24.625,26.375
99,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.625,26.5
100,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,26.5
101,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,26.625
102,17.459257992829578,-260,,,,,,,24.5,26.625
103,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.625
104,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,26.625
105,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.5,26.625
106,17.459257992829578,-260,,,,,,,24.625,26.5
107,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.625,26.5
108,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,26.5
109,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.75,26.5
110,17.459257992829578,-260,,,,,,,24.75,26.625
111,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.625,26.625
112,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,26.75
113,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,26.75
114,17.459257992829578,-260,,,,,,,24.625,26.875
115,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.625,26.875
116,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,26.875
117,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,27
118,18.459257992829578,-259,,,,,,,24.625,26.875
119,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.625,26.875
120,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,27
121,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,27.125
122,17.459257992829578,-260,,,,,,,24.5,27
123,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,27
124,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,27
125,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,24.5,27
126,17.459257992829578,-260,,,,,,,24.5,27.125
127,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,27.125
128,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,27
129,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.5,26.875
130,18.459257992829578,-259,,,,,,,24.5,26.875
131,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.75
132,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,26.75
133,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,26.75
134,17.459257992829578,-260,,,,,,,24.625,26.75
135,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.625,26.75
136,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,26.875
137,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,26.875
138,17.459257992829578,-260,,,,,,,24.5,26.875
139,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.875
140,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,26.875
141,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.5,26.875
142,17.459257992829578,-260,,,,,,,24.5,26.875
143,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.875
144,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,26.75
145,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.5,26.75
146,17.459257992829578,-260,,,,,,,24.5,26.75
147,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.75
148,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,26.75
149,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.5,26.625
150,17.459257992829578,-260,,,,,,,24.5,26.625
151,16.459257992829578,-261,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.5
152,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,26.5
153,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.5,26.5
154,17.459257992829578,-260,,,,,,,24.5,26.5
155,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.5
156,16.459257992829578,-261,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,26.5
157,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,26.5
158,17.459257992829578,-260,,,,,,,24.625,26.5
159,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.625,26.5
160,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,26.5
161,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,26.5
162,17.459257992829578,-260,,,,,,,24.5,26.625
163,16.459257992829578,-261,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.625
164,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,26.625
165,16.459257992829578,-261,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,26.625
166,17.459257992829578,-260,,,,,,,24.75,26.75
167,16.459257992829578,-261,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.625,26.75
168,16.459257992829578,-261,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,26.875
169,16.459257992829578,-261,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,26.875
170,17.459257992829578,-260,,,,,,,24.5,26.875
171,16.459257992829578,-261,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.875
172,16.459257992829578,-261,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,26.875
173,16.459257992829578,-261,,,-0.65917962789535522,0.1318359375,,0.087890625,24.5,26.875
174,17.459257992829578,-260,,,,,,,24.5,27
175,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,27.125
176,18.459257992829578,-259,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,27.125
177,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.5,27
178,16.459257992829578,-261,,,,,,,24.5,26.75
179,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.625
180,16.459257992829578,-261,-0.74707025289535522,,,,0.0439453125,0.087890625,24.375,26.5
181,16.459257992829578,-261,,,-0.65917962789535522,0.1318359375,,0.087890625,24.375,26.5
182,17.459257992829578,-260,,,,,,,24.5,26.5
183,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.625
184,16.459257992829578,-261,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,26.625
185,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,24.5,26.75
186,16.459257992829578,-261,,,,,,,24.5,26.75
187,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.75
188,16.459257992829578,-261,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,26.75
189,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,26.75
190,16.459257992829578,-261,,,,,,,24.625,26.75
191,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.625,26.75
192,16.459257992829578,-261,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,26.75
193,16.459257992829578,-261,,,-0.65917962789535522,0.1318359375,,0.087890625,24.5,26.75
194,17.459257992829578,-260,,,,,,,24.5,26.75
195,16.459257992829578,-261,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.625
196,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,26.625
197,16.459257992829578,-261,,,-0.65917962789535522,0.1318359375,,0.087890625,24.5,26.5
198,17.459257992829578,-260,,,,,,,24.5,26.375
199,16.459257992829578,-261,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,26.375
200,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.5,26.375
201,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,26.5
202,18.459257992829578,-259,,,,,,,24.625,26.75
203,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.625,26.875
204,16.459257992829578,-261,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,26.875
205,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,27.25
206,17.459257992829578,-260,,,,,,,24.625,27.375
207,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.625,27.375
208,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.625,27.375
209,17.459257992829578,-260,,,-0.65917962789535522,0.1318359375,,0.087890625,24.625,27.5
210,18.459257992829578,-259,,,,,,,24.5,27.5
211,17.459257992829578,-260,,-0.79101556539535522,,0.1318359375,0.0439453125,,24.5,29.125
212,17.459257992829578,-260,-0.74707025289535522,,,,0.0439453125,0.087890625,24.75,32.125
213,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.098876953125,24.875,36.125
214,17.459257992829578,-260,,,,,,,25,37.75
215,18.459257992829578,-259,,-0.79101556539535522,,0.1318359375,0.010986328125,,25.125,40.25
216,19.459257992829578,-258,-0.79101556539535522,,,,0,0.1318359375,26.25,44.625
217,18.459257992829578,-259,,,-0.65917962789535522,0.1318359375,,0.1318359375,27.875,46.5
218,17.459257992829578,-260,,,,,,,30.5,47.5
219,16.459257992829578,-261,,-0.79101556539535522,,0.1318359375,0,,33.625,47.375
220,16.459257992829578,-261,-0.79101556539535522,,,,0,0.1318359375,35.25,45.125
